DESIGNATOR,SIDE,X-POSITION,Y-POSITION,ROTATION,MOUNTTYPE,FOOTPRINT,COMPONENT VALUE,AISLER PART SKU,ID
J7,top,58.59,32.11,90,smt,BM04B,BM04B-SRSS-TBT,89e3d8bd-ce77-4536-bd0e-366fff0845d8,1745043578
J8,top,40.38,31.30,-90,smt,BM06B,BM06B-SRSS-TBT,f31a085d-e34a-48df-aba0-bc1b6c2eea79,1528186928
J9,top,43.63,20.28,0,smt,BM04B,BM04B-SRSS-TBT,bd646d06-76a7-4ca5-ae2b-c224a96e128b,1309353829
J10,top,56.02,20.87,180,smt,BM10B,BM10B-SRSS-TBT,bd646d06-76a7-4ca5-ae2b-c224a96e128b,36584766
J12,top,32.04,2.55,0,smt,HRO-TYPE-C,HRO-TYPE-C-31-M-12,bd646d06-76a7-4ca5-ae2b-c224a96e128b,36584766
L1,top,6.96,33.89,-90,smt,SLF7032,6U8,ab35b9a7-b7cb-49a1-9609-02dc1797d8d4,1527144096
L2,top,24.79,55.54,180,smt,SLF7032,6U8,ab35b9a7-b7cb-49a1-9609-02dc1797d8d4,1527144096
Q1,top,3.34,51.68,0,smt,SOT-23,BSS138P,eaff266e-3b53-405e-bdc2-295f3ad571d3,617576474
Q2,top,10.84,51.68,0,smt,SOT-23,BSS138P,eaff266e-3b53-405e-bdc2-295f3ad571d3,617576474
Q3,top,18.33,51.68,0,smt,SOT-23,BSS138P,eaff266e-3b53-405e-bdc2-295f3ad571d3,617576474
Q5,top,53.51,27.16,-90,smt,SOT-23,BSS138P,eaff266e-3b53-405e-bdc2-295f3ad571d3,617576474
Q4,top,10.33,21.14,180,smt,SOT-223,STN4NF20L,N/A,903564816
R1,top,25.90,2.12,-90,smt,0603R,5K1,N/A,770407405
R2,top,36.62,9.00,180,smt,0603R,5K1,N/A,1678197323
R6,top,3.09,55.87,0,smt,0603R,100K,N/A,1388527081
R9,top,10.58,55.87,0,smt,0603R,100K,N/A,1388527081
R11,top,18.07,55.87,0,smt,0603R,100K,N/A,1388527081
R13,top,56.30,24.49,0,smt,0603R,100R,N/A,1388527081
R14,top,3.95,39.89,-90,smt,0603R,1M,N/A,443173977
R3,top,38.14,6.71,90,smt,0603R,1M,N/A,443173977
R7,top,3.09,54.22,0,smt,0603R,220R,N/A,1364268211
R15,top,10.58,54.22,0,smt,0603R,220R,N/A,1364268211
R17,top,18.07,54.22,0,smt,0603R,220R,N/A,1364268211
R23,top,58.41,7.37,90,smt,0603R,220R,N/A,1364268211
R24,top,60.19,7.37,90,smt,0603R,220R,N/A,1364268211
R20,top,12.60,26.89,-90,smt,0603R,10K,N/A,2066635904
R25,top,50.97,26.65,-90,smt,0603R,10K,N/A,2066635904
R29,top,57.06,26.02,0,smt,0603R,10K,N/A,2066635904
R21,top,53.38,36.94,-90,smt,0603R,2K2,N/A,1251878759
R22,top,55.16,36.94,-90,smt,0603R,2K2,N/A,1251878759
R26,top,43.09,15.73,0,smt,0603R,1K,N/A,1203596221
R27,top,26.58,28.05,180,smt,0603R,1K,N/A,1203596221
R5,top,27.47,14.56,-90,smt,0402R,27R4,N/A,1265437277
R4,top,28.48,14.56,-90,smt,0402R,27R4,N/A,1265437277
U1,top,18.07,22.59,-90,smt,SOT-223,LD1117S33TR,N/A,919274969
U2,top,8.20,40.99,180,smt,QFN-16,TPS62112RSAR,N/A,1597861726
U3,top,35.98,12.94,180,smt,WSON-8,W25Q128JVPIQ,N/A,653140221
U4,top,29.88,20.43,180,smt,QFN-56,RP2040,N/A,102434797
Y1,top,27.07,31.03,180,smt,ABMM2,ABMM2-12.000MHZ-E2-T,N/A,102434797
FID_A_1,top,-4.8999,2.5031,0,smt,FID_A_1,FID_A_1,N/A,N/A
FID_A_2,top,-4.8999,64.7564,0,smt,FID_A_2,FID_A_2,N/A,N/A
FID_A_3,top,72.9,64.7564,0,smt,FID_A_3,FID_A_3,N/A,N/A
